Wodór,1,1,1,1,H 
Hel,2,2,1,18,He 
Lit,3,1,2,1,Li 
Beryl,4,2,2,2,Be 
Bor,5,3,2,13,B 
Węgiel,6,4,2,14,C 
Azot,7,5,2,15,N 
Tlen,8,6,2,16,O 
Fluor,9,7,2,17,F 
Neon,10,8,2,18,Ne 
Sód,11,1,3,1,Na 
Magnez,12,2,3,2,Mg 
Glin,13,3,3,13,Al
Krzem,14,4,3,14,Si
Fosfor,15,5,3,15,P 
Siarka,16,6,3,16,S 
Chlor,17,7,3,17,Cl 
Argon,18,8,3,18,Ar 
Potas,19,1,4,1,K 
Wapń,20,2,4,2,Ca 
Skand,21,3,4,3,Sc 
Tytan,22,4,4,4,Ti 
Wanad,23,5,4,5,V 
Chrom,24,6,4,6,Cr 
Mangan,25,7,4,7,Mn 
Żelazo,26,8,4,8,Fe 
Kobalt,27,9,4,9,Co 
Nikiel,28,10,4,10,Ni 
Miedź,29,11,4,11,Cu 
Cynk,30,12,4,12,Zn 
Gal,31,3,4,13,Ga 
German,32,4,4,14,Ge 
Arsen,33,5,4,15,As 
Selen,34,6,4,16,Se 
Brom,35,7,4,17,Br 
Krypton,36,8,4,18,Kr 
Rubid,37,1,5,1,Rb 
Stront,38,2,5,2,Sr 
Itr,39,3,5,3,Y 
Cyrkon,40,4,5,4,Zr 
Niob,41,5,5,5,Nb 
Molibden,42,6,5,6,Mo 
Technet,43,7,5,7,Tc 
Ruten,44,8,5,8,Ru 
Rod,45,9,5,9,Rh 
Pallad,46,10,5,10,Pd 
Srebro,47,11,5,11,Ag 
Kadm,48,12,5,12,Cd 
Ind,49,3,5,13,In 
Cyna,50,4,5,14,Sn 
Antymon,51,5,5,15,Sb 
Tellur,52,6,5,16,Te 
Jod,53,7,5,17,I 
Ksenon,54,8,5,18,Xe 
Cez,55,1,6,1,Cs 
Bar,56,2,6,2,Ba 
Lantan,57,3,6,3,La 
Cer,58,4,6,3,Ce 
Prazeodym,59,5,6,3,Pr 
Neodym,60,6,6,3,Nd 
Promet,61,7,6,3,Pm 
Samarium,62,8,6,3,Sm 
Europ,63,9,6,3,Eu 
Gadolin,64,10,6,3,Gd 
Terb,65,11,6,3,Tb 
Dysproz,66,12,6,3,Dy 
Holm,67,13,6,3,Ho 
Erb,68,14,6,3,Er 
Tul,69,15,6,3,Tm 
Iterb,70,16,6,3,Yb 
Lutet,71,17,6,3,Lu 
Hafn,72,4,6,4,Hf 
Tantal,73,5,6,5,Ta 
Wolfram,74,6,6,6,W 
Ren,75,7,6,7,Re 
Osm,76,8,6,8,Os 
Irid,77,9,6,9,Ir 
Platyna,78,10,6,10,Pt 
Złoto,79,11,6,11,Au 
Rtęć,80,12,6,12,Hg 
Tal,81,3,6,13,Tl 
Ołów,82,4,6,14,Pb 
Bizmut,83,5,6,15,Bi 
Polon,84,6,6,16,Po 
Astat,85,7,6,17,At 
Radon,86,8,6,18,Rn 
Frans,87,1,7,1,Fr 
Rad,88,2,7,2,Ra 
Aktyn,89,3,7,3,Ac 
Tor,90,4,7,3,Th 
Protaktyn,91,5,7,3,Pa 
Uran,92,6,7,3,U 
Neptun,93,7,7,3,Np 
Pluton,94,8,7,3,Pu 
Ameryk,95,9,7,3,Am 
Kiur,96,10,7,3,Cm 
Berkel,97,11,7,3,Bk 
Kaliforn,98,12,7,3,Cf 
Einstein,99,13,7,3,Es 
Ferm,100,14,7,3,Fm 
Mendelew,101,15,7,3,Md 
Nobel,102,16,7,3,No 
Lorens,103,17,7,3,Lr 
Rutherford,104,4,7,4,Rf 
Dubn,105,5,7,5,Db 
Seaborg,106,6,7,6,Sg 
Bohr,107,7,7,7,Bh 
Hassium,108,8,7,8,Hs
Meitner,109,9,7,9,Mt 
Darmstadtium,110,10,7,10,Ds 
Roentgen,111,11,7,11,Rg 
Kopernik,112,12,7,12,Cn 
Nihonium,113,3,7,13,Nh 
Flerovium,114,4,7,14,Fl 
Moscovium,115,5,7,15,Mc 
Livermorium,116,6,7,16,Lv 
Tennessine,117,7,7,17,Ts 
Oganesson,118,8,7,18,Og